year,省份,地区,did,time,人口规模,人口密度,经济发展水平,金融发展程度,城镇化水平,政府干预程度,财政投资力度,财政分权度,产业结构整体升级,产业结构高级化,产业结构合理化,教育水平支出,科学技术水平,科教支出,人力资本,人力资本存量,环境规制,基础设施,市场化水平,高质量发展指数,产业结构高级化2,产业结构合理化2,生产性服务业占比,包容性TFP指数,创新指数,二氧化硫去除率,工业固废综合利用率,pm25,人均GDP,city
2012,内蒙古自治区,包头市,0,,5.409411430358887,4.387884616851807,11.741724967956543,1.0264283418655396,0.8136000037193298,0.08537919819355011,8.66693115234375,0.6381081342697144,2.394399881362915,0.7607594728469849,0.028493698686361313,0.1387006938457489,0.013122467324137688,441963,307,68641,47.709999084472656,136,2.2855660915374756,0.09651199728250504,0.19299504160881042,0.07396969199180603,0.0538170225918293,0.04422372952103615,0.08444414287805557,0.05602714419364929,0.044848162680864334,0.03911534696817398,8212.0126953125,包头市
2013,内蒙古自治区,包头市,0,,5.41610050201416,4.394942760467529,11.955621719360352,1.1291943788528442,0.8201000094413757,0.10141483694314957,8.386411666870117,0.6055254936218262,2.4267001152038574,0.8816579580307007,0.02542947418987751,0.12147869169712067,0.012642635963857174,476477,245,70100,48.099998474121094,135,2.126227378845215,0.09827399998903275,0.09848037362098694,0.08794049173593521,0.053908202797174454,0.0442272312939167,0.07865556329488754,0.05736155062913895,0.04907410591840744,0.048003900796175,8524.384765625,包头市
2014,内蒙古自治区,包头市,0,,5.410305976867676,4.389002323150635,11.780476570129395,1.1901297569274902,0.8234000205993652,0.09726632386445999,9.727608680725098,0.6624961495399475,2.45169997215271,0.9726110696792603,0.023920312523841858,0.1203521192073822,0.014574323780834675,477222,314,70342,66.12999725341797,136,2.339340925216675,0.10723599791526794,0.19395774602890015,0.08238191157579422,0.05668924003839493,0.05125666409730911,0.09189482033252716,0.05903341621160507,0.052088815718889236,0.04682138189673424,9432.478515625,包头市
2015,内蒙古自治区,包头市,0,,5.411020755767822,4.390366554260254,11.792471885681152,1.3171178102493286,0.8264999985694885,0.10566238313913345,6.567820072174072,0.6415525674819946,2.4619998931884766,1.0109549760818481,0.02101382426917553,0.1272905468940735,0.013723212294280529,554562,323,72320,72.11000061035156,62,2.448131799697876,0.09043999761343002,0.1248072013258934,0.08137067407369614,0.04849211871623993,0.03658207505941391,0.07749079912900925,0.04615605250000954,0.04268858581781387,0.04270486533641815,7733.705078125,包头市
2016,内蒙古自治区,包头市,0,,5.411645889282227,4.391729354858398,11.820564270019531,1.458011269569397,0.8296999931335449,0.10713457316160202,7.133502960205078,0.6545376777648926,2.4797000885009766,1.070473313331604,0.018806472420692444,0.128913015127182,0.014085441827774048,592524,354,80246,44.720001220703125,69,2.3880765438079834,0.0886320024728775,0.17279694974422455,0.06267611682415009,0.047303784638643265,0.03672821447253227,0.07333234697580338,0.04599734768271446,0.03826509416103363,0.04170844703912735,7241.41162109375,包头市
2017,内蒙古自治区,包头市,0,,5.411645889282227,4.39309024810791,11.688557624816895,2.0080885887145996,0.8327999711036682,0.0968760997056961,10.07727336883545,0.4166046679019928,2.5035500526428223,1.185573935508728,0.01835981383919716,0.1529395431280136,0.011856099590659142,544352,323,85011,48.540000915527344,68,2.6870005130767822,0.0810299962759018,0.1259044110774994,0.058101750910282135,0.04072243720293045,0.036641765385866165,0.06861215084791183,0.041164860129356384,0.03821536898612976,0.03433160111308098,7292.5380859375,包头市
2018,内蒙古自治区,包头市,0,,5.411645889282227,4.394449234008789,11.536437034606934,2.294123888015747,0.8356999754905701,0.123491071164608,10.154791831970215,0.39160874485969543,2.527400016784668,1.3584814071655273,0.025092141702771187,0.14952854812145233,0.013241534121334553,593329,354,89389,40.939998626708984,68,3.067720651626587,0.10320799797773361,0.16666027903556824,0.09131430834531784,0.054094407707452774,0.04157527908682823,0.08674529194831848,0.055191509425640106,0.04558800533413887,0.05116330087184906,8888.9951171875,包头市
2019,内蒙古自治区,包头市,0,,5.41610050201416,4.395806312561035,11.44929313659668,2.3178517818450928,0.8389999866485596,0.13431495428085327,11.177448272705078,0.4164731800556183,2.536600112915039,1.454707384109497,0.07915884256362915,0.145902618765831,0.01174276601523161,574666,323,93386,42.31999969482422,68,2.886857748031616,0.13478399813175201,0.24986258149147034,0.10131847858428955,0.06889888644218445,0.056330278515815735,0.11196237057447433,0.07781484723091125,0.06685960292816162,0.05955430865287781,11655.3115234375,包头市
2020,内蒙古自治区,包头市,0,,5.413875579833984,4.397161483764648,11.54198932647705,2.1235146522521973,0.8615000247955322,0.1361057013273239,11.724532127380371,0.38272640109062195,2.5109000205993652,1.3260817527770996,0.06236862763762474,0.1411706954240799,0.010961794294416904,577079,354,97011,45.65999984741211,68,2.699500799179077,0.11088000237941742,0.1667635142803192,0.08587988466024399,0.05614519864320755,0.054806873202323914,0.09625159949064255,0.06535045057535172,0.05239301919937134,0.04593758285045624,9549.873046875,包头市
2021,内蒙古自治区,包头市,0,,5.411645889282227,4.398514747619629,11.706277847290039,1.9501174688339233,0.8672999739646912,0.10193236917257309,14.360610008239746,0.4798060953617096,2.4528000354766846,1.0228463411331177,0.05578049644827843,0.1635725498199463,0.016195395961403847,603415,323,100282,47.40999984741211,68,2.505293846130371,0.15309399366378784,0.2772379219532013,0.1146429106593132,0.08094386011362076,0.07551667839288712,0.13630111515522003,0.08715029060840607,0.07555801421403885,0.06385856866836548,12375.2001953125,包头市
2005,广西壮族自治区,北海市,0,,5.005555629730225,6.1030731201171875,9.411238670349121,1.5915944576263428,0.2994000017642975,0.10232260078191757,3.618178129196167,0.5845144987106323,2.118799924850464,0.980677604675293,0.2863830029964447,0.1857316642999649,0.0020178870763629675,34891,152,7107,95.12000274658203,26,1.2187714576721191,0.2658500075340271,0.49041348695755005,0.2357291877269745,0.15158501267433167,0.11843352019786835,0.22427105903625488,0.15878954529762268,0.12981455028057098,0.12789246439933777,23663.57421875,北海市
2006,广西壮族自治区,北海市,0,,5.024275302886963,6.121790885925293,9.491903305053711,1.6314870119094849,0.3001999855041504,0.12548042833805084,3.4907188415527344,0.5606203079223633,2.09060001373291,0.8299999833106995,0.32517746090888977,0.1668795645236969,0.0013731990475207567,42149,152,7316,95.12000274658203,27,1.5375155210494995,0.310699999332428,0.5666857361793518,0.24366647005081177,0.1857302486896515,0.14345639944076538,0.25864842534065247,0.15682582557201385,0.12604166567325592,0.14679022133350372,24858.17578125,北海市
2007,广西壮族自治区,北海市,0,,5.051905155181885,6.149407863616943,9.673885345458984,1.4654858112335205,0.3068999946117401,0.13621480762958527,4.0299272537231445,0.5664042830467224,2.135699987411499,0.9221137166023254,0.26776212453842163,0.18677988648414612,0.006499305833131075,64919,152,9231,95.12000274658203,27,1.5375155210494995,0.2776139974594116,0.353957861661911,0.23401471972465515,0.16445019841194153,0.13622796535491943,0.24794816970825195,0.14861510694026947,0.12106746435165405,0.1243211030960083,24066.634765625,北海市
2008,广西壮族自治区,北海市,0,,5.060758113861084,6.158270359039307,9.908126831054688,1.30470871925354,0.49799999594688416,0.09957802295684814,6.408610820770264,0.45895108580589294,2.1133999824523926,0.7954387068748474,0.2615821063518524,0.20206747949123383,0.008158589713275433,65707,151,13144,95.12000274658203,28,1.4437463283538818,0.32760000228881836,0.5552819967269897,0.2298867553472519,0.17620621621608734,0.14061902463436127,0.28598496317863464,0.18543142080307007,0.15549860894680023,0.14966733753681183,28446.1640625,北海市
2009,广西壮族自治区,北海市,0,,5.076298236846924,6.173807144165039,9.908126831054688,1.8912638425827026,0.5019999742507935,0.16049885749816895,6.7222747802734375,0.33775100111961365,2.1407999992370605,1.030319333076477,0.2857378423213959,0.18998359143733978,0.0048203361220657825,99335,99,15887,95.11000061035156,30,0.6379052400588989,0.29121801257133484,0.4574161171913147,0.2276742309331894,0.1732776165008545,0.13841299712657928,0.2616651952266693,0.17071489989757538,0.1259838193655014,0.12290855497121811,24807.40625,北海市
2010,广西壮族自治区,北海市,0,,5.117035388946533,6.214548110961914,10.142976760864258,1.7384207248687744,0.4860999882221222,0.15855325758457184,7.698094844818115,0.4363992512226105,2.1373000144958496,0.8465545773506165,0.2342478483915329,0.18846550583839417,0.003334549954161048,120905,137,22778,94.97000122070312,30,0.7438267469406128,0.3215999901294708,0.4485676884651184,0.27460137009620667,0.16177766025066376,0.13659638166427612,0.2760164141654968,0.16671422123908997,0.15199780464172363,0.15282753109931946,25897.162109375,北海市
