term,coefficient,std_error,t_stat,p_value,ci_lower,ci_upper
地区_巴中市,-0.7526013430422613,9.696015397662993e-13,-776196522154.5121,0.0,-0.7526013430441623,-0.7526013430403604
地区_巴彦淖尔市,0.4294049319107169,1.326558250762373e-12,323698512043.4311,0.0,0.4294049319081162,0.4294049319133176
地区_常州市,1.27776820255864,0.01632877155019038,78.252561659713,0.0,1.245755622255357,1.3097807828619232
地区_常德市,0.31155728521827974,0.013063017240127333,23.850331013973523,2.3020401055460176e-118,0.28594722097570213,0.33716734946085736
地区_平凉市,-0.6257340487305119,1.1844505811462963e-12,-528290549804.9014,0.0,-0.625734048732834,-0.6257340487281897
地区_平顶山市,0.16585608089731452,1.113378434932438e-12,148966493057.12393,0.0,0.16585608089513174,0.1658560808994973
地区_广元市,-0.6484753945288011,1.1655465902861195e-12,-556370204274.3849,0.0,-0.6484753945310862,-0.648475394526516
地区_广安市,-0.20170097562088607,0.01306301724008437,-15.440611607091727,2.0031268518581087e-52,-0.22731103986337947,-0.17609091137839267
地区_广州市,1.520521500531873,1.0221770038389176e-12,1487532486860.2585,0.0,1.5205215005298691,1.520521500533877
地区_庆阳市,-0.25840826595508704,7.643597299101532e-13,-338071533393.65704,0.0,-0.25840826595658556,-0.2584082659535885
地区_廊坊市,0.454426608536008,0.016328771550183533,27.82980992412135,3.4452018427869174e-157,0.4224140282327382,0.48643918883927784
地区_延安市,0.6175298568904202,0.014695894395129874,42.02056984670941,0.0,0.5887185346175465,0.6463411791632938
地区_开封市,0.0080438704986312,0.01306301724010586,0.6157743154418446,0.5380752235529174,-0.017566193743904338,0.033653934741166736
地区_张家口市,-0.0006136052743821022,1.0097011212728605e-12,-607709807.8375633,0.0,-0.0006136052763616227,-0.0006136052724025818
地区_张家界市,-0.1636847327729769,1.2566990987342856e-12,-130249741515.55919,0.0,-0.16368473277544066,-0.16368473277051315
地区_张掖市,-0.10944364422123565,0.01306301724016984,-8.378129050054955,7.143089291649801e-17,-0.1350537084638966,-0.08383357997857467
地区_徐州市,0.5199752337728749,0.013063017240107846,39.805140283852374,2.3548317435875993e-296,0.4943651695303355,0.5455852980154143
地区_德州市,0.38268208240211266,0.01632877155015153,23.43606077326505,1.394847880478784e-114,0.35066950209890557,0.41469466270531974
地区_德阳市,0.3403555365175193,1.0596770556972393e-12,321187983346.0907,0.0,0.3403555365154418,0.3403555365195968
地区_忻州市,-0.3454406759382689,0.013063017240138735,-26.444172091944676,3.5561200465910558e-143,-0.37105074018086887,-0.3198306116956689
地区_怀化市,-0.2680426204902211,8.863749390651753e-13,-302403202839.7769,0.0,-0.2680426204919588,-0.2680426204884834
地区_惠州市,0.7422285079962434,1.148466132590176e-12,646278098181.5017,0.0,0.7422285079939919,0.7422285079984949
地区_成都市,0.8018053279212866,1.4392196697681422e-12,557111151802.4604,0.0,0.8018053279184649,0.8018053279241082
